vehicle_id	tour_id	route	ident	lon	lat
0	0	1	1	-79.849642	-6.763449
0	0	1	2	-79.849839	-6.764323
0	0	1	3	-79.850412	-6.763641
0	0	1	4	-79.850886	-6.76389
0	0	1	5	-79.85226	-6.76369
0	0	1	6	-79.852165	-6.76419
0	0	1	7	-79.852199	-6.764849
0	0	1	8	-79.854064	-6.765235
0	0	1	9	-79.854125	-6.763641
0	0	1	10	-79.85454	-6.76329
0	0	1	11	-79.855037	-6.76274
0	0	1	12	-79.854692	-6.762691
0	0	1	13	-79.853616	-6.76289
0	0	1	14	-79.852981	-6.76296
0	0	1	15	-79.852176	-6.763003
0	0	1	16	-79.851571	-6.7631
0	0	1	17	-79.851617	-6.762494
0	0	1	18	-79.851729	-6.7624
0	0	1	19	-79.851388	-6.762114
0	0	1	20	-79.851154	-6.76174
0	0	1	21	-79.851086	-6.76153
0	0	1	22	-79.852217	-6.76112
0	0	1	23	-79.855057	-6.761016
0	0	1	24	-79.852657	-6.7599
0	0	1	25	-79.852642	-6.759883
0	0	1	26	-79.852563	-6.76019
0	0	1	27	-79.851802	-6.760638
0	0	1	28	-79.85133	-6.760553
0	0	1	29	-79.851299	-6.76072
0	0	1	30	-79.851248	-6.761065
0	0	1	31	-79.850857	-6.76115
0	0	1	32	-79.850346	-6.760945
0	0	1	33	-79.850267	-6.761147
0	0	1	34	-79.85047	-6.7617
0	0	1	35	-79.851192	-6.762507
0	0	1	36	-79.851147	-6.762623
0	0	1	37	-79.851363	-6.762722
0	0	1	38	-79.851285	-6.76283
0	0	1	39	-79.85116	-6.76314
0	0	1	40	-79.850602	-6.762942
0	0	1	41	-79.849597	-6.762495
0	0	1	42	-79.849482	-6.762914
0	0	1	43	-79.849067	-6.762716
0	0	1	44	-79.84894	-6.762746
0	0	1	45	-79.848977	-6.76257
0	0	1	46	-79.848002	-6.762242
0	0	1	47	-79.847991	-6.762101
0	0	1	48	-79.846524	-6.762087
0	0	1	49	-79.846439	-6.762101
0	0	1	50	-79.846213	-6.762188
0	0	1	51	-79.846178	-6.76222
0	0	1	52	-79.846161	-6.762256
0	0	1	53	-79.846088	-6.762362
0	0	1	54	-79.846452	-6.76278
0	0	1	55	-79.846464	-6.76313
0	0	1	56	-79.846492	-6.76337
0	1	2	1	-79.847781	-6.76682
0	1	2	2	-79.848105	-6.76671
0	1	2	3	-79.848981	-6.76614
0	1	2	4	-79.849589	-6.76547
0	1	2	5	-79.850109	-6.765103
0	1	2	6	-79.850334	-6.764208
0	1	2	7	-79.849558	-6.764905
0	1	2	8	-79.849413	-6.76532
0	1	2	9	-79.848869	-6.765737
0	1	2	10	-79.84852	-6.76586
0	1	2	11	-79.848187	-6.766163
0	1	2	12	-79.84807	-6.765459
0	1	2	13	-79.847774	-6.765187
0	1	2	14	-79.847444	-6.765124
0	1	2	15	-79.847008	-6.764308
0	1	2	16	-79.847716	-6.764093
0	1	2	17	-79.848592	-6.76405
0	1	2	18	-79.848842	-6.764084
0	1	2	19	-79.8492	-6.76405
0	1	2	20	-79.849341	-6.76412
0	1	2	21	-79.849497	-6.76385
0	1	2	22	-79.849032	-6.763504
0	1	2	23	-79.848764	-6.761891
0	1	2	24	-79.848892	-6.761673
0	1	2	25	-79.849927	-6.76088
0	1	2	26	-79.850249	-6.760969
0	1	2	27	-79.850963	-6.76024
0	1	2	28	-79.850107	-6.75854
0	1	2	29	-79.849822	-6.758119
0	1	2	30	-79.850234	-6.76055
0	1	2	31	-79.848781	-6.761219
0	1	2	32	-79.848442	-6.761271
0	1	2	33	-79.846082	-6.762322
1	0	3	1	-79.856113	-6.762475
1	0	3	2	-79.85605	-6.76176
1	0	3	3	-79.856279	-6.76109
1	0	3	4	-79.856909	-6.76075
1	0	3	5	-79.857079	-6.760871
1	0	3	6	-79.857781	-6.76124
1	0	3	7	-79.857247	-6.76202
1	0	3	8	-79.857116	-6.76238
1	0	3	9	-79.857887	-6.762042
1	0	3	10	-79.858103	-6.762041
1	0	3	11	-79.858482	-6.761386
1	0	3	12	-79.859294	-6.7615
1	0	3	13	-79.859299	-6.761866
1	0	3	14	-79.859347	-6.762043
1	0	3	15	-79.859144	-6.762574
1	0	3	16	-79.8588	-6.763923
1	0	3	17	-79.858661	-6.76417
1	0	3	18	-79.858806	-6.764251
1	0	3	19	-79.859013	-6.76376
1	0	3	20	-79.859711	-6.76248
1	0	3	21	-79.859777	-6.761951
1	0	3	22	-79.860037	-6.761347
1	0	3	23	-79.859201	-6.76027
1	0	3	24	-79.859219	-6.75995
1	0	3	25	-79.859945	-6.75964
1	0	3	26	-79.860302	-6.75958
1	0	3	27	-79.860585	-6.759409
1	0	3	28	-79.861199	-6.759652
1	0	3	29	-79.861101	-6.75838
1	0	3	30	-79.867636	-6.749345
1	0	3	31	-79.867754	-6.748583
1	0	3	32	-79.858687	-6.75934
1	0	3	33	-79.859018	-6.759881
1	0	3	34	-79.858715	-6.760107
1	0	3	35	-79.858615	-6.76006
1	0	3	36	-79.858444	-6.760452
1	0	3	37	-79.857322	-6.760553
1	0	3	38	-79.857304	-6.759881
1	0	3	39	-79.857546	-6.759683
1	0	3	40	-79.856934	-6.759665
1	0	3	41	-79.855185	-6.75992
1	0	3	42	-79.854887	-6.759473
1	1	4	1	-79.854835	-6.75921
1	1	4	2	-79.856651	-6.75875
1	1	4	3	-79.855827	-6.7575
1	1	4	4	-79.854955	-6.757023
1	1	4	5	-79.857493	-6.755833
1	1	4	6	-79.857099	-6.7555
1	1	4	7	-79.857477	-6.755138
1	1	4	8	-79.858384	-6.754324
1	1	4	9	-79.858363	-6.754256
1	1	4	10	-79.859366	-6.75431
1	1	4	11	-79.863858	-6.75288
1	1	4	12	-79.865477	-6.753377
1	1	4	13	-79.865625	-6.751916
1	1	4	14	-79.868437	-6.75152
1	1	4	15	-79.868399	-6.750448
1	1	4	16	-79.867239	-6.750068
1	1	4	17	-79.86629	-6.75022
1	1	4	18	-79.865636	-6.749104
1	1	4	19	-79.865563	-6.75032
1	1	4	20	-79.865311	-6.750466
1	1	4	21	-79.865625	-6.75059
1	1	4	22	-79.865494	-6.751288
1	1	4	23	-79.863609	-6.751298
1	1	4	24	-79.863572	-6.752174
1	1	4	25	-79.863511	-6.752182
1	1	4	26	-79.86088	-6.75333
1	1	4	27	-79.858731	-6.753498
1	1	4	28	-79.858463	-6.75358
1	1	4	29	-79.858279	-6.754028
1	1	4	30	-79.857425	-6.75472
1	1	4	31	-79.856656	-6.754593
1	1	4	32	-79.853798	-6.75535
2	0	5	1	-79.847324	-6.77322
2	0	5	2	-79.847846	-6.77315
2	0	5	3	-79.847406	-6.773658
2	0	5	4	-79.847507	-6.774036
2	0	5	5	-79.848405	-6.774123
2	0	5	6	-79.849392	-6.77415
2	0	5	7	-79.850976	-6.774056
2	0	5	8	-79.85342	-6.77374
2	0	5	9	-79.854192	-6.773852
2	0	5	10	-79.854729	-6.77313
2	0	5	11	-79.854672	-6.772856
2	0	5	12	-79.853533	-6.772869
2	0	5	13	-79.853709	-6.77221
2	0	5	14	-79.853406	-6.772
