vehicle_id	tour_id	route	ident	lon	lat
0	0	1	1	-79.829225	-6.7736
0	0	1	2	-79.829434	-6.77337
0	0	1	3	-79.829251	-6.7712
0	0	1	4	-79.830673	-6.77104
0	0	1	5	-79.831371	-6.76962
0	0	1	6	-79.831651	-6.769765
0	0	1	7	-79.832534	-6.76956
0	0	1	8	-79.832725	-6.768377
0	0	1	9	-79.832496	-6.76859
0	0	1	10	-79.832218	-6.768345
0	0	1	11	-79.831901	-6.76825
0	0	1	12	-79.831872	-6.768185
0	0	1	13	-79.831897	-6.76721
0	0	1	14	-79.830822	-6.7671
0	0	1	15	-79.830341	-6.767132
0	0	1	16	-79.829989	-6.76705
0	0	1	17	-79.829865	-6.767151
0	0	1	18	-79.829899	-6.76728
0	0	1	19	-79.830135	-6.767977
0	0	1	20	-79.829122	-6.768669
0	0	1	21	-79.828153	-6.76834
0	0	1	22	-79.827775	-6.76831
0	0	1	23	-79.826975	-6.768275
0	0	1	24	-79.826789	-6.7686
0	0	1	25	-79.826408	-6.768624
0	0	1	26	-79.826502	-6.768694
0	0	1	27	-79.827734	-6.769373
0	0	1	28	-79.827674	-6.77006
0	0	1	29	-79.828316	-6.770012
0	0	1	30	-79.828506	-6.769664
0	0	1	31	-79.828976	-6.76999
0	0	1	32	-79.829387	-6.76998
0	0	1	33	-79.829495	-6.770377
0	0	1	34	-79.829884	-6.770373
0	0	1	35	-79.829434	-6.77346
0	0	1	36	-79.829431	-6.7735
0	0	1	37	-79.829387	-6.77375
0	0	1	38	-79.829595	-6.773968
0	0	1	39	-79.829695	-6.774353
0	1	2	1	-79.829369	-6.773482
0	1	2	2	-79.830213	-6.77219
0	1	2	3	-79.829637	-6.772076
0	1	2	4	-79.828846	-6.772102
0	1	2	5	-79.829885	-6.77171
0	1	2	6	-79.82922	-6.77166
0	1	2	7	-79.829844	-6.769075
0	1	2	8	-79.829847	-6.768899
0	1	2	9	-79.829826	-6.768675
0	1	2	10	-79.829826	-6.768675
0	1	2	11	-79.829608	-6.768077
0	1	2	12	-79.829159	-6.76761
0	1	2	13	-79.827948	-6.76678
0	1	2	14	-79.828307	-6.76811
0	1	2	15	-79.830825	-6.768058
0	1	2	16	-79.831904	-6.76839
0	1	2	17	-79.830191	-6.76871
0	1	2	18	-79.830249	-6.768823
0	1	2	19	-79.828905	-6.770807
0	1	2	20	-79.830053	-6.77064
0	1	2	21	-79.829707	-6.77333
1	0	3	1	-79.856133	-6.773633
1	0	3	2	-79.856798	-6.77361
1	0	3	3	-79.859186	-6.772332
1	0	3	4	-79.859308	-6.772181
1	0	3	5	-79.858742	-6.77242
1	0	3	6	-79.857025	-6.77223
1	0	3	7	-79.856312	-6.77142
1	0	3	8	-79.855762	-6.771824
1	0	3	9	-79.855836	-6.772237
1	0	3	10	-79.85574	-6.77261
1	0	3	11	-79.8559	-6.77381
1	0	3	12	-79.856055	-6.774309
1	0	3	13	-79.856166	-6.77482
1	0	3	14	-79.856221	-6.775157
1	0	3	15	-79.856845	-6.7751
1	0	3	16	-79.856644	-6.77505
1	0	3	17	-79.856114	-6.77596
1	0	3	18	-79.856291	-6.776306
1	0	3	19	-79.856776	-6.776441
1	0	3	20	-79.858442	-6.77689
1	0	3	21	-79.858466	-6.77708
1	0	3	22	-79.858005	-6.77725
1	0	3	23	-79.858398	-6.7772
1	0	3	24	-79.859014	-6.777278
1	0	3	25	-79.859479	-6.77766
1	0	3	26	-79.85952	-6.77698
1	0	3	27	-79.859478	-6.77609
1	0	3	28	-79.859128	-6.774826
1	0	3	29	-79.858789	-6.77485
1	0	3	30	-79.858724	-6.773266
1	0	3	31	-79.85868	-6.77594
1	0	3	32	-79.857786	-6.77568
1	0	3	33	-79.856826	-6.77579
1	0	3	34	-79.856041	-6.77577
1	0	3	35	-79.856123	-6.776078
1	0	3	36	-79.856216	-6.776906
1	0	3	37	-79.857074	-6.777331
1	0	3	38	-79.857047	-6.77676
1	0	3	39	-79.856935	-6.77662
1	0	3	40	-79.856736	-6.77696
1	1	4	1	-79.860038	-6.766089
1	1	4	2	-79.859657	-6.76592
1	1	4	3	-79.859812	-6.765162
1	1	4	4	-79.856134	-6.769661
1	1	4	5	-79.856391	-6.769349
1	1	4	6	-79.857148	-6.768631
1	1	4	7	-79.857272	-6.769507
1	1	4	8	-79.858744	-6.767214
1	1	4	9	-79.859527	-6.76731
1	1	4	10	-79.859523	-6.767207
1	1	4	11	-79.859831	-6.77022
1	1	4	12	-79.858844	-6.770007
1	1	4	13	-79.859041	-6.77008
1	1	4	14	-79.85884	-6.77008
1	1	4	15	-79.858273	-6.770046
1	1	4	16	-79.857847	-6.77124
1	1	4	17	-79.858052	-6.774561
1	1	4	18	-79.859	-6.77453
1	1	4	19	-79.858947	-6.77643
1	1	4	20	-79.857356	-6.77712
2	0	5	1	-79.829937	-6.766513
2	0	5	2	-79.829699	-6.76593
2	0	5	3	-79.829616	-6.765742
2	0	5	4	-79.82863	-6.76503
2	0	5	5	-79.829022	-6.76499
2	0	5	6	-79.829268	-6.765067
2	0	5	7	-79.829597	-6.76511
2	0	5	8	-79.829682	-6.764881
2	0	5	9	-79.829872	-6.76396
2	0	5	10	-79.829702	-6.76394
2	0	5	11	-79.829855	-6.76372
2	0	5	12	-79.829859	-6.76364
2	0	5	13	-79.829645	-6.763591
2	0	5	14	-79.829644	-6.76353
2	0	5	15	-79.829878	-6.763511
2	0	5	16	-79.82963	-6.763331
2	0	5	17	-79.831597	-6.76448
2	0	5	18	-79.831074	-6.763844
2	0	5	19	-79.829947	-6.763301
2	0	5	20	-79.828708	-6.762869
2	0	5	21	-79.828569	-6.763027
2	0	5	22	-79.828577	-6.763131
2	0	5	23	-79.828573	-6.763763
2	0	5	24	-79.828561	-6.763369
2	0	5	25	-79.828207	-6.763985
2	0	5	26	-79.82844	-6.76556
2	0	5	27	-79.828272	-6.765656
2	0	5	28	-79.828292	-6.765929
2	0	5	29	-79.828438	-6.765563
2	0	5	30	-79.82823	-6.76539
2	0	5	31	-79.82829	-6.764944
2	0	5	32	-79.828146	-6.76488
2	0	5	33	-79.827731	-6.76464
2	0	5	34	-79.829025	-6.764389
2	0	5	35	-79.829502	-6.76429
2	1	6	1	-79.83269	-6.766693
2	1	6	2	-79.833296	-6.7663
2	1	6	3	-79.833091	-6.766609
2	1	6	4	-79.8327	-6.766216
2	1	6	5	-79.83326	-6.765338
2	1	6	6	-79.833663	-6.76528
2	1	6	7	-79.833804	-6.765462
2	1	6	8	-79.833715	-6.76557
2	1	6	9	-79.833211	-6.76502
2	1	6	10	-79.83321	-6.764771
2	1	6	11	-79.83363	-6.76458
2	1	6	12	-79.832435	-6.763725
2	1	6	13	-79.831959	-6.763732
2	1	6	14	-79.831443	-6.763821
2	1	6	15	-79.831707	-6.76424
2	1	6	16	-79.83189	-6.764388
2	1	6	17	-79.83208	-6.765474
2	1	6	18	-79.831602	-6.766987
2	1	6	19	-79.830074	-6.766198
